Volume;env;quartier;dc;zone;type;Application;Cap;Use;Use%
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;anais_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;annuaires_dv;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;annuaires_qf;20.0;7.54;37.7
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;audit_an_data_hp;1.0;0.03;2.52
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;contacts_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;igesa_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;keycloak_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;keycloak_qf2;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;pegase_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;replicateurs_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;sandbox_qt;1.0;0.0;0.0
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;spoc_dv;1.0;0.39;38.53
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;spoc_qf;1.0;0.26;26.14
vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;sugoi_qf;1.0;0.13;13.45
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;anais_qf;1.0;0.0;0.16
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;annuaires_dv;1.0;0.0;0.0
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;annuaires_qf;10.0;2.89;28.9
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;contacts_qf;1.0;0.02;2.4
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;igesa_qf;1.0;0.0;0.0
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;keycloak_qf;10.0;1.57;15.7
vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;keycloak_qf2;1.0;0.28;27.88
